Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,C,C4,18pF,C_0805,1,
2,,C,C5,680pF,C_0805,1,
3,,C,C6,8n2,C_0805,1,
4,,C,C7,100n,C_0805,1,
5,,C,C3,1u,C_0805,1,
6,,C,C9C11,1u5,C_1206,2,
7,,C,C2,3u3,C_0805,1,
8,,CP,C1,22u,TantalC_SizeD_EIA-7343_Reflow,1,
9,,CP,C10,22u,TantalC_SizeB_EIA-3528_Reflow,1,
10,,CP,C8,22u,TantalC_SizeC_EIA-6032_Reflow,1,
11,,CP,C12,47u,C_Radial_D6.3_L11.2_P2.5,1,
12,,D_Schottky,D1,D_Schottky,DO-214AB,1,
13,,Led_Small,D2,POWER OUT,LED_0805,1,
14,,CONN1_1,J1J2J3J4,CONN1_1,WAGO256,4,
15,,INDUCTOR,L2,240nH,R_0805,1,
16,,INDUCTOR,L1,4.7uH,Inductor_XAL4030-472MEB,1,
17,,CONN_01X01,P5,CONN_01X01,Pin_Header_Straight_1x01,1,
18,,R,R4,1k2,R_0805,1,
19,,R,R3,1k93,R_0805,1,
20,,R,R2,10k2,R_0805,1,
21,,R,R1,35k7,R_0805,1,
22,,TPS54332,U1,TPS54332,8-PowerSOIC_Pitch1.27mm,1,
